event_id,event_name,event_type_general_code,event_type_code,ranking_year,ranking_month,ranking_week,competitor_id,player_name,dob,gender,country_code,age_category_code,is_retired,sub_event_code,ranking_category_code,category_code,result_position,matches_played,matches_won,matches_lost,qualifier,zero_point_penalty
80001,WCH Event 1,WCH,WCH,2026,1,1,90001,SEN Player 1,1995-01-15,M,CHN,SEN,0,MS,MS,SEN,W,3,2,1,0,0
80002,WCH Event 2,WCH,WCH,2026,1,1,90001,SEN Player 1,1995-01-15,M,CHN,SEN,0,MS,MS,SEN,F,3,2,1,0,0
80003,WCH Event 3,WCH,WCH,2026,1,1,90001,SEN Player 1,1995-01-15,M,CHN,SEN,0,MS,MS,SEN,SF,3,2,1,0,0
80004,WCH Event 4,WCH,WCH,2026,1,1,90001,SEN Player 1,1995-01-15,M,CHN,SEN,0,MS,MS,SEN,QF,3,2,1,0,0
80005,WCH Event 5,WCH,WCH,2026,1,1,90001,SEN Player 1,1995-01-15,M,CHN,SEN,0,MS,MS,SEN,R16,3,2,1,0,1
80006,WCH Event 6,WCH,WCH,2026,1,1,90001,SEN Player 1,1995-01-15,M,CHN,SEN,0,MS,MS,SEN,R32,3,2,1,0,0
80007,WCH Event 7,WCH,WCH,2026,1,1,90001,SEN Player 1,1995-01-15,M,CHN,SEN,0,MS,MS,SEN,QF,3,2,1,0,0
80008,WCH Event 8,WCH,WCH,2026,1,1,90001,SEN Player 1,1995-01-15,M,CHN,SEN,0,MS,MS,SEN,SF,3,2,1,0,0
80009,Con Event 9,Con,Con,2026,1,1,90001,SEN Player 1,1995-01-15,M,CHN,SEN,0,MS,MS,SEN,F,3,2,1,0,0
80010,Con Event 10,Con,Con,2026,1,1,90001,SEN Player 1,1995-01-15,M,CHN,SEN,0,MS,MS,SEN,R16,3,2,1,0,0
80001,WCH Event 1,WCH,WCH,2026,1,1,90002,SEN Player 2,1996-02-15,M,JPN,SEN,0,MS,MS,SEN,F,3,2,1,0,0
