event_id,event_name,event_type_general_code,event_type_code,ranking_year,ranking_month,ranking_week,competitor_id,player_name,dob,gender,country_code,age_category_code,is_retired,sub_event_code,ranking_category_code,category_code,result_position,matches_played,matches_won,matches_lost,qualifier,zero_point_penalty
81001,WCDR64 Event 1,WCDR64,WCDR64,2026,1,1,91001,YOU Player 1,2009-01-10,M,CHN,U17,0,MS,MS,YOU,W,3,2,1,0,0
81002,WCDR64 Event 2,WCDR64,WCDR64,2026,1,1,91001,YOU Player 1,2009-01-10,M,CHN,U17,0,MS,MS,YOU,F,3,2,1,0,0
81003,WCDR64 Event 3,WCDR64,WCDR64,2026,1,1,91001,YOU Player 1,2009-01-10,M,CHN,U17,0,MS,MS,YOU,SF,3,2,1,0,0
81004,WCDR64 Event 4,WCDR64,WCDR64,2026,1,1,91001,YOU Player 1,2009-01-10,M,CHN,U17,0,MS,MS,YOU,QF,3,2,1,0,0
81005,WCDR64 Event 5,WCDR64,WCDR64,2026,1,1,91001,YOU Player 1,2009-01-10,M,CHN,U17,0,MS,MS,YOU,R16,3,2,1,0,0
81006,WCDR64 Event 6,WCDR64,WCDR64,2026,1,1,91001,YOU Player 1,2009-01-10,M,CHN,U17,0,MS,MS,YOU,R32,3,2,1,0,0
81007,WCDR64 Event 7,WCDR64,WCDR64,2026,1,1,91001,YOU Player 1,2009-01-10,M,CHN,U17,0,MS,MS,YOU,R64,3,2,1,0,0
81008,WCDR64 Event 8,WCDR64,WCDR64,2026,1,1,91001,YOU Player 1,2009-01-10,M,CHN,U17,0,MS,MS,YOU,QF,3,2,1,0,0
81009,WCDR64 Event 9,WCDR64,WCDR64,2026,1,1,91001,YOU Player 1,2009-01-10,M,CHN,U17,0,MS,MS,YOU,SF,3,2,1,0,0
81010,WCDR64 Event 10,WCDR64,WCDR64,2026,1,1,91001,YOU Player 1,2009-01-10,M,CHN,U17,0,MS,MS,YOU,F,3,2,1,0,0
81011,WCDR64 Event 11,WCDR64,WCDR64,2026,1,1,91001,YOU Player 1,2009-01-10,M,CHN,U17,0,MS,MS,YOU,R16,3,2,1,0,0
81001,WCDR64 Event 1,WCDR64,WCDR64,2026,1,1,91002,YOU Player 2,2010-02-10,M,JPN,U17,0,MS,MS,YOU,F,3,2,1,0,0
81002,WCDR64 Event 2,WCDR64,WCDR64,2026,1,1,91002,YOU Player 2,2010-02-10,M,JPN,U17,0,MS,MS,YOU,SF,3,2,1,0,0
81003,WCDR64 Event 3,WCDR64,WCDR64,2026,1,1,91002,YOU Player 2,2010-02-10,M,JPN,U17,0,MS,MS,YOU,QF,3,2,1,0,0
81004,WCDR64 Event 4,WCDR64,WCDR64,2026,1,1,91002,YOU Player 2,2010-02-10,M,JPN,U17,0,MS,MS,YOU,R16,3,2,1,0,0
81005,WCDR64 Event 5,WCDR64,WCDR64,2026,1,1,91002,YOU Player 2,2010-02-10,M,JPN,U17,0,MS,MS,YOU,R32,3,2,1,0,0
81006,WCDR64 Event 6,WCDR64,WCDR64,2026,1,1,91002,YOU Player 2,2010-02-10,M,JPN,U17,0,MS,MS,YOU,R64,3,2,1,0,0
81007,WCDR64 Event 7,WCDR64,WCDR64,2026,1,1,91002,YOU Player 2,2010-02-10,M,JPN,U17,0,MS,MS,YOU,QF,3,2,1,0,0
81008,WCDR64 Event 8,WCDR64,WCDR64,2026,1,1,91002,YOU Player 2,2010-02-10,M,JPN,U17,0,MS,MS,YOU,SF,3,2,1,0,0
81009,WCDR64 Event 9,WCDR64,WCDR64,2026,1,1,91002,YOU Player 2,2010-02-10,M,JPN,U17,0,MS,MS,YOU,F,3,2,1,0,0
81010,WCDR64 Event 10,WCDR64,WCDR64,2026,1,1,91002,YOU Player 2,2010-02-10,M,JPN,U17,0,MS,MS,YOU,R16,3,2,1,0,0
81011,WCDR64 Event 11,WCDR64,WCDR64,2026,1,1,91002,YOU Player 2,2010-02-10,M,JPN,U17,0,MS,MS,YOU,W,3,2,1,0,0
81001,WCDR64 Event 1,WCDR64,WCDR64,2026,1,1,91003,YOU Player 3,2009-03-10,M,GER,U17,0,MS,MS,YOU,SF,3,2,1,0,0
81002,WCDR64 Event 2,WCDR64,WCDR64,2026,1,1,91003,YOU Player 3,2009-03-10,M,GER,U17,0,MS,MS,YOU,QF,3,2,1,0,0
81003,WCDR64 Event 3,WCDR64,WCDR64,2026,1,1,91003,YOU Player 3,2009-03-10,M,GER,U17,0,MS,MS,YOU,R16,3,2,1,0,0
81004,WCDR64 Event 4,WCDR64,WCDR64,2026,1,1,91003,YOU Player 3,2009-03-10,M,GER,U17,0,MS,MS,YOU,R32,3,2,1,0,0
81005,WCDR64 Event 5,WCDR64,WCDR64,2026,1,1,91003,YOU Player 3,2009-03-10,M,GER,U17,0,MS,MS,YOU,R64,3,2,1,0,0
81006,WCDR64 Event 6,WCDR64,WCDR64,2026,1,1,91003,YOU Player 3,2009-03-10,M,GER,U17,0,MS,MS,YOU,QF,3,2,1,0,0
81007,WCDR64 Event 7,WCDR64,WCDR64,2026,1,1,91003,YOU Player 3,2009-03-10,M,GER,U17,0,MS,MS,YOU,SF,3,2,1,0,0
81008,WCDR64 Event 8,WCDR64,WCDR64,2026,1,1,91003,YOU Player 3,2009-03-10,M,GER,U17,0,MS,MS,YOU,F,3,2,1,0,0
81009,WCDR64 Event 9,WCDR64,WCDR64,2026,1,1,91003,YOU Player 3,2009-03-10,M,GER,U17,0,MS,MS,YOU,R16,3,2,1,0,0
81010,WCDR64 Event 10,WCDR64,WCDR64,2026,1,1,91003,YOU Player 3,2009-03-10,M,GER,U17,0,MS,MS,YOU,W,3,2,1,0,0
81011,WCDR64 Event 11,WCDR64,WCDR64,2026,1,1,91003,YOU Player 3,2009-03-10,M,GER,U17,0,MS,MS,YOU,F,3,2,1,0,0
81001,WCDR64 Event 1,WCDR64,WCDR64,2026,1,1,91004,YOU Player 4,2010-04-10,M,FRA,U17,0,MS,MS,YOU,QF,3,2,1,0,0
81002,WCDR64 Event 2,WCDR64,WCDR64,2026,1,1,91004,YOU Player 4,2010-04-10,M,FRA,U17,0,MS,MS,YOU,R16,3,2,1,0,0
81003,WCDR64 Event 3,WCDR64,WCDR64,2026,1,1,91004,YOU Player 4,2010-04-10,M,FRA,U17,0,MS,MS,YOU,R32,3,2,1,0,0
81004,WCDR64 Event 4,WCDR64,WCDR64,2026,1,1,91004,YOU Player 4,2010-04-10,M,FRA,U17,0,MS,MS,YOU,R64,3,2,1,0,0
81005,WCDR64 Event 5,WCDR64,WCDR64,2026,1,1,91004,YOU Player 4,2010-04-10,M,FRA,U17,0,MS,MS,YOU,QF,3,2,1,0,0
81006,WCDR64 Event 6,WCDR64,WCDR64,2026,1,1,91004,YOU Player 4,2010-04-10,M,FRA,U17,0,MS,MS,YOU,SF,3,2,1,0,0
81007,WCDR64 Event 7,WCDR64,WCDR64,2026,1,1,91004,YOU Player 4,2010-04-10,M,FRA,U17,0,MS,MS,YOU,F,3,2,1,0,0
81008,WCDR64 Event 8,WCDR64,WCDR64,2026,1,1,91004,YOU Player 4,2010-04-10,M,FRA,U17,0,MS,MS,YOU,R16,3,2,1,0,0
81009,WCDR64 Event 9,WCDR64,WCDR64,2026,1,1,91004,YOU Player 4,2010-04-10,M,FRA,U17,0,MS,MS,YOU,W,3,2,1,0,0
81010,WCDR64 Event 10,WCDR64,WCDR64,2026,1,1,91004,YOU Player 4,2010-04-10,M,FRA,U17,0,MS,MS,YOU,F,3,2,1,0,0
81011,WCDR64 Event 11,WCDR64,WCDR64,2026,1,1,91004,YOU Player 4,2010-04-10,M,FRA,U17,0,MS,MS,YOU,SF,3,2,1,0,0
81001,WCDR64 Event 1,WCDR64,WCDR64,2026,1,1,91005,YOU Player 5,2009-05-10,M,BRA,U17,0,MS,MS,YOU,R16,3,2,1,0,0
81002,WCDR64 Event 2,WCDR64,WCDR64,2026,1,1,91005,YOU Player 5,2009-05-10,M,BRA,U17,0,MS,MS,YOU,R32,3,2,1,0,0
81003,WCDR64 Event 3,WCDR64,WCDR64,2026,1,1,91005,YOU Player 5,2009-05-10,M,BRA,U17,0,MS,MS,YOU,R64,3,2,1,0,0
81004,WCDR64 Event 4,WCDR64,WCDR64,2026,1,1,91005,YOU Player 5,2009-05-10,M,BRA,U17,0,MS,MS,YOU,QF,3,2,1,0,0
81005,WCDR64 Event 5,WCDR64,WCDR64,2026,1,1,91005,YOU Player 5,2009-05-10,M,BRA,U17,0,MS,MS,YOU,SF,3,2,1,0,0
81006,WCDR64 Event 6,WCDR64,WCDR64,2026,1,1,91005,YOU Player 5,2009-05-10,M,BRA,U17,0,MS,MS,YOU,F,3,2,1,0,0
81007,WCDR64 Event 7,WCDR64,WCDR64,2026,1,1,91005,YOU Player 5,2009-05-10,M,BRA,U17,0,MS,MS,YOU,R16,3,2,1,0,0
81008,WCDR64 Event 8,WCDR64,WCDR64,2026,1,1,91005,YOU Player 5,2009-05-10,M,BRA,U17,0,MS,MS,YOU,W,3,2,1,0,0
81009,WCDR64 Event 9,WCDR64,WCDR64,2026,1,1,91005,YOU Player 5,2009-05-10,M,BRA,U17,0,MS,MS,YOU,F,3,2,1,0,0
81010,WCDR64 Event 10,WCDR64,WCDR64,2026,1,1,91005,YOU Player 5,2009-05-10,M,BRA,U17,0,MS,MS,YOU,SF,3,2,1,0,0
81011,WCDR64 Event 11,WCDR64,WCDR64,2026,1,1,91005,YOU Player 5,2009-05-10,M,BRA,U17,0,MS,MS,YOU,QF,3,2,1,0,0
81001,WCDR64 Event 1,WCDR64,WCDR64,2026,1,1,91006,YOU Player 6,2010-06-10,M,USA,U17,0,MS,MS,YOU,R32,3,2,1,0,0
81002,WCDR64 Event 2,WCDR64,WCDR64,2026,1,1,91006,YOU Player 6,2010-06-10,M,USA,U17,0,MS,MS,YOU,R64,3,2,1,0,0
81003,WCDR64 Event 3,WCDR64,WCDR64,2026,1,1,91006,YOU Player 6,2010-06-10,M,USA,U17,0,MS,MS,YOU,QF,3,2,1,0,0
81004,WCDR64 Event 4,WCDR64,WCDR64,2026,1,1,91006,YOU Player 6,2010-06-10,M,USA,U17,0,MS,MS,YOU,SF,3,2,1,0,0
81005,WCDR64 Event 5,WCDR64,WCDR64,2026,1,1,91006,YOU Player 6,2010-06-10,M,USA,U17,0,MS,MS,YOU,F,3,2,1,0,0
81006,WCDR64 Event 6,WCDR64,WCDR64,2026,1,1,91006,YOU Player 6,2010-06-10,M,USA,U17,0,MS,MS,YOU,R16,3,2,1,0,0
81007,WCDR64 Event 7,WCDR64,WCDR64,2026,1,1,91006,YOU Player 6,2010-06-10,M,USA,U17,0,MS,MS,YOU,W,3,2,1,0,0
81008,WCDR64 Event 8,WCDR64,WCDR64,2026,1,1,91006,YOU Player 6,2010-06-10,M,USA,U17,0,MS,MS,YOU,F,3,2,1,0,0
